"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008017","GO:0008017","microtubule binding","10/49","162/21809",2.47568898989167e-12,1.9310374121155e-10,1.43329362572675e-10,"NA/CORD4/RSW7/NA/EDE1/NA/PAKRP2/NA/NA/NA",10
"GO:0016538","GO:0016538","cyclin-dependent protein serine/threonine kinase regulator activity","7/49","53/21809",2.63393525185339e-11,6.8482316548188e-10,5.0830329421732e-10,"CYCB2;3/CYCB2;4/CYCB2;1/CYC2/CYCB2;2/CYC1/CYC1BAT",7
"GO:0003777","GO:0003777","microtubule motor activity","7/49","65/21809",1.16576464526829e-10,2.27324105827316e-09,1.68729093394094e-09,"NA/RSW7/NA/NA/PAKRP2/NA/NA",7
