"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0052545","GO:0052545","callose localization","2/37","45/21826",0.00264408954877278,0.084085386648768,0.0684906031600241,"ATSUS6/ATSUS5",2
"GO:0005985","GO:0005985","sucrose metabolic process","2/37","46/21826",0.00276133275205538,0.084085386648768,0.0684906031600241,"ATSUS6/ATSUS5",2
"GO:0033037","GO:0033037","polysaccharide localization","2/37","48/21826",0.00300304952317029,0.084085386648768,0.0684906031600241,"ATSUS6/ATSUS5",2
"GO:0005984","GO:0005984","disaccharide metabolic process","2/37","70/21826",0.00628069985943053,0.131894697048041,0.107433023911312,"ATSUS6/ATSUS5",2
"GO:0009311","GO:0009311","oligosaccharide metabolic process","2/37","82/21826",0.0085275902376996,0.143263515993353,0.116693340094837,"ATSUS6/ATSUS5",2
"GO:0022411","GO:0022411","cellular component disassembly","2/37","112/21826",0.0154619807302799,0.212398398511556,0.173006214326456,"anac045/anac086",2
"GO:0010088","GO:0010088","phloem development","1/37","12/21826",0.0201591412329769,0.212398398511556,0.173006214326456,"AtSEOR2",1
"GO:0048640","GO:0048640","negative regulation of developmental growth","1/37","15/21826",0.0251368129506162,0.212398398511556,0.173006214326456,"NA",1
"GO:0009938","GO:0009938","negative regulation of gibberellic acid mediated signaling pathway","1/37","16/21826",0.0267905627979792,0.212398398511556,0.173006214326456,"ANAC040",1
"GO:0046620","GO:0046620","regulation of organ growth","1/37","19/21826",0.0317354515909177,0.212398398511556,0.173006214326456,"NA",1
"GO:0009904","GO:0009904","chloroplast accumulation movement","1/37","20/21826",0.0333783088519409,0.212398398511556,0.173006214326456,"NA",1
"GO:0044262","GO:0044262","cellular carbohydrate metabolic process","3/37","424/21826",0.0347431512694621,0.212398398511556,0.173006214326456,"ATSUS6/XTH10/ATSUS5",3
"GO:0009903","GO:0009903","chloroplast avoidance movement","1/37","23/21826",0.0382906246693612,0.212398398511556,0.173006214326456,"NA",1
"GO:0009937","GO:0009937","regulation of gibberellic acid mediated signaling pathway","1/37","26/21826",0.0431786477481233,0.212398398511556,0.173006214326456,"ANAC040",1
"GO:0009902","GO:0009902","chloroplast relocation","1/37","27/21826",0.0448026105936886,0.212398398511556,0.173006214326456,"NA",1
"GO:0051667","GO:0051667","establishment of plastid localization","1/37","27/21826",0.0448026105936886,0.212398398511556,0.173006214326456,"NA",1
"GO:0019750","GO:0019750","chloroplast localization","1/37","28/21826",0.0464238915427246,0.212398398511556,0.173006214326456,"NA",1
"GO:0051644","GO:0051644","plastid localization","1/37","28/21826",0.0464238915427246,0.212398398511556,0.173006214326456,"NA",1
"GO:0035265","GO:0035265","organ growth","1/37","29/21826",0.0480424949014234,0.212398398511556,0.173006214326456,"NA",1
"GO:0045926","GO:0045926","negative regulation of growth","1/37","37/21826",0.060895443050033,0.239844234921981,0.195361845487829,"NA",1
"GO:0071472","GO:0071472","cellular response to salt stress","1/37","39/21826",0.0640822035925778,0.239844234921981,0.195361845487829,"ANAC040",1
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","1/37","40/21826",0.0656716357524471,0.239844234921981,0.195361845487829,"ANAC040",1
"GO:0060284","GO:0060284","regulation of cell development","1/37","40/21826",0.0656716357524471,0.239844234921981,0.195361845487829,"ANAC040",1
"GO:0009407","GO:0009407","toxin catabolic process","1/37","46/21826",0.0751532209912437,0.263036273469353,0.214252603703107,"ATGSTF4",1
"GO:0071470","GO:0071470","cellular response to osmotic stress","1/37","51/21826",0.0829829697382337,0.278822778320465,0.227111285599376,"ANAC040",1
"GO:0009740","GO:0009740","gibberellic acid mediated signaling pathway","1/37","60/21826",0.0969143001008972,0.28516393720507,0.232276389954005,"ANAC040",1
"GO:0010411","GO:0010411","xyloglucan metabolic process","1/37","60/21826",0.0969143001008972,0.28516393720507,0.232276389954005,"XTH10",1
"GO:0009404","GO:0009404","toxin metabolic process","1/37","61/21826",0.0984494545112743,0.28516393720507,0.232276389954005,"ATGSTF4",1
"GO:0010476","GO:0010476","gibberellin mediated signaling pathway","1/37","61/21826",0.0984494545112743,0.28516393720507,0.232276389954005,"ANAC040",1
"GO:0071370","GO:0071370","cellular response to gibberellin stimulus","1/37","64/21826",0.103039698905374,0.287462145126363,0.234148363824732,"ANAC040",1
"GO:0010090","GO:0010090","trichome morphogenesis","1/37","66/21826",0.106087220225205,0.287462145126363,0.234148363824732,"ANAC040",1
"GO:0045595","GO:0045595","regulation of cell differentiation","1/37","74/21826",0.11817687518882,0.310214297370653,0.252680818660307,"ANAC040",1
"GO:0009624","GO:0009624","response to nematode","1/37","84/21826",0.133065385873892,0.328465139460779,0.267546792793868,"LTPG5",1
"GO:2000024","GO:2000024","regulation of leaf development","1/37","86/21826",0.136013598880767,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0010026","GO:0010026","trichome differentiation","1/37","88/21826",0.138952055881246,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0090626","GO:0090626","plant epidermis morphogenesis","1/37","94/21826",0.14770920425361,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0022604","GO:0022604","regulation of cell morphogenesis","1/37","100/21826",0.156379672735805,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0051656","GO:0051656","establishment of organelle localization","1/37","101/21826",0.157816382305388,0.328465139460779,0.267546792793868,"NA",1
"GO:0010087","GO:0010087","phloem or xylem histogenesis","1/37","103/21826",0.160682663064633,0.328465139460779,0.267546792793868,"AtSEOR2",1
"GO:0098754","GO:0098754","detoxification","1/37","103/21826",0.160682663064633,0.328465139460779,0.267546792793868,"ATGSTF4",1
"GO:0009968","GO:0009968","negative regulation of signal transduction","1/37","105/21826",0.16353945152503,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0010648","GO:0010648","negative regulation of cell communication","1/37","109/21826",0.169224673715119,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0023057","GO:0023057","negative regulation of signaling","1/37","109/21826",0.169224673715119,0.328465139460779,0.267546792793868,"ANAC040",1
"GO:0010410","GO:0010410","hemicellulose metabolic process","1/37","111/21826",0.172053168288979,0.328465139460779,0.267546792793868,"XTH10",1
"GO:0009739","GO:0009739","response to gibberellin","1/37","118/21826",0.18187930359851,0.337697963893079,0.275067263822683,"ANAC040",1
"GO:0009636","GO:0009636","response to toxic substance","1/37","126/21826",0.192970265081759,0.337697963893079,0.275067263822683,"ATGSTF4",1
"GO:0048573","GO:0048573","photoperiodism, flowering","1/37","126/21826",0.192970265081759,0.337697963893079,0.275067263822683,"ANAC040",1
"GO:0062197","GO:0062197","cellular response to chemical stress","1/37","126/21826",0.192970265081759,0.337697963893079,0.275067263822683,"ANAC040",1
"GO:0006869","GO:0006869","lipid transport","1/37","131/21826",0.199827679905391,0.34256173698067,0.279028983756185,"LTPG5",1
"GO:0009648","GO:0009648","photoperiodism","1/37","139/21826",0.210681784205136,0.353945397464629,0.288301388912291,"ANAC040",1
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process","1/37","149/21826",0.224048106535907,0.364063369307339,0.296542844673897,"NA",1
"GO:0010383","GO:0010383","cell wall polysaccharide metabolic process","1/37","150/21826",0.225372561952162,0.364063369307339,0.296542844673897,"XTH10",1
"GO:0010876","GO:0010876","lipid localization","1/37","160/21826",0.238496717622233,0.375184945340934,0.305601772520811,"LTPG5",1
"GO:0051093","GO:0051093","negative regulation of developmental process","1/37","164/21826",0.243685579311009,0.375184945340934,0.305601772520811,"NA",1
"GO:0051640","GO:0051640","organelle localization","1/37","168/21826",0.248840033491943,0.375184945340934,0.305601772520811,"NA",1
"GO:0048638","GO:0048638","regulation of developmental growth","1/37","169/21826",0.250123296893956,0.375184945340934,0.305601772520811,"NA",1
"GO:0022603","GO:0022603","regulation of anatomical structure morphogenesis","1/37","178/21826",0.261577088638322,0.376005587503301,0.306270215384894,"ANAC040",1
"GO:0009845","GO:0009845","seed germination","1/37","179/21826",0.262839175099906,0.376005587503301,0.306270215384894,"ANAC040",1
"GO:0044036","GO:0044036","cell wall macromolecule metabolic process","1/37","180/21826",0.264099162651128,0.376005587503301,0.306270215384894,"XTH10",1
"GO:0071214","GO:0071214","cellular response to abiotic stimulus","1/37","197/21826",0.28520108574515,0.392735921353976,0.319897680300858,"ANAC040",1
"GO:0104004","GO:0104004","cellular response to environmental stimulus","1/37","197/21826",0.28520108574515,0.392735921353976,0.319897680300858,"ANAC040",1
"GO:0090351","GO:0090351","seedling development","1/37","206/21826",0.296133131127057,0.401212629268916,0.326802266948365,"ANAC040",1
"GO:0006073","GO:0006073","cellular glucan metabolic process","1/37","216/21826",0.308089080702892,0.41032236309357,0.334222476204036,"XTH10",1
"GO:0044042","GO:0044042","glucan metabolic process","1/37","222/21826",0.315167556088517,0.41032236309357,0.334222476204036,"XTH10",1
"GO:0048585","GO:0048585","negative regulation of response to stimulus","1/37","224/21826",0.317511352393834,0.41032236309357,0.334222476204036,"ANAC040",1
"GO:0010228","GO:0010228","vegetative to reproductive phase transition of meristem","1/37","230/21826",0.324496009798095,0.412218616190159,0.335767043262661,"ANAC040",1
"GO:0009658","GO:0009658","chloroplast organization","1/37","238/21826",0.33370078453489,0.412218616190159,0.335767043262661,"NA",1
"GO:0040008","GO:0040008","regulation of growth","1/37","238/21826",0.33370078453489,0.412218616190159,0.335767043262661,"NA",1
