"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0080167","GO:0080167","response to karrikin","4/41","127/21826",9.37105098722607e-05,0.0296125211196344,0.023772876714963,"ATMYB90/NA/ABS2/BRT1",4
"GO:0045493","GO:0045493","xylan catabolic process","2/41","16/21826",0.00040630694397084,0.0448088181291649,0.0359724356066914,"ATXYL1/ATBXL4",2
"GO:0044347","GO:0044347","cell wall polysaccharide catabolic process","2/41","17/21826",0.000459933493543834,0.0448088181291649,0.0359724356066914,"ATXYL1/ATBXL4",2
"GO:0019748","GO:0019748","secondary metabolic process","5/41","363/21826",0.000567200229483101,0.0448088181291649,0.0359724356066914,"IGMT1/SCPL9/BRT1/CYP84A1/AtCOMT",5
